,Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
433,CCC(=O)OC(C)(C)/C=C/[C@@H](N1CCC[C@H]1C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,671.8720000000001,4.720600000000005,9,5,164.83,0.7631578947368421,5.862548991424724,53,2.0761655640066894,True,True,True,True,True,True,True,True,True,True
465,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,558.7120000000002,3.982000000000003,8,4,141.36,0.71875,5.48835700353661,45,2.9561314744881058,True,True,True,True,True,True,True,True,True,True
466,CCC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,572.7390000000004,4.372100000000003,8,4,141.36,0.7272727272727273,5.528941392014223,45,2.7603529289652,True,True,True,True,True,True,True,True,True,True
471,CC(=O)OC(C)(C)/C=C/[C@@H](N1CCC[C@H]1C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,655.8290000000001,4.538700000000003,9,4,161.67000000000002,0.7297297297297297,5.825783414399506,55,2.071290926221981,True,True,True,True,True,True,True,True,True,True
504,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,556.6960000000001,4.190200000000004,8,3,138.20000000000002,0.6875,5.527480655659698,47,2.6734155258551304,True,True,True,True,True,True,True,True,True,True
505,CCC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,570.7230000000003,4.580300000000004,8,3,138.20000000000002,0.696969696969697,5.565191768132223,47,2.4845324912744924,True,True,True,True,True,True,True,True,True,True
507,CC(=O)OC(C)(C)/C=C/[C@@H](O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,558.7120000000002,3.982000000000003,8,4,141.36,0.71875,5.660593837856137,45,2.71729361962148,True,True,True,True,True,True,True,True,True,True
508,CCC(=O)OC(C)(C)/C=C/[C@@H](O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,572.7390000000004,4.372100000000003,8,4,141.36,0.7272727272727273,5.696349156212641,45,2.527340387631907,True,True,True,True,True,True,True,True,True,True
510,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@@H](/C=C/C(C)(C)OC(C)=O)N1CCC[C@H]1C(=O)O,699.8820000000001,4.901300000000004,10,4,170.9,0.7435897435897436,5.881872340863414,57,2.156283583209043,True,True,True,True,True,True,True,True,True,True
543,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)C(=O)/C=C/C(C)(C)OC(C)=O,600.7490000000003,4.552800000000004,9,3,147.42999999999998,0.7058823529411765,5.545949182749786,49,2.80359420756568,True,True,True,True,True,True,True,True,True,True
544,CCC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,614.7760000000002,4.942900000000005,9,3,147.43,0.7142857142857143,5.58759364330989,49,2.6862593466885727,True,True,True,True,True,True,True,True,True,True
546,CC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@H](O)/C=C/C(C)(C)OC(C)=O,602.7650000000002,4.344600000000004,9,4,150.59,0.7352941176470589,5.677188230331503,47,2.8127429497664704,True,True,True,True,True,True,True,True,True,True
547,CCC(=O)OC(C)(C)/C=C/[C@@H](O)[C@](C)(O)[C@H]1[C@H](OC(C)=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,616.7920000000003,4.734700000000005,9,4,150.59,0.7428571428571429,5.716904183963752,47,2.695200162930255,True,True,True,True,True,True,True,True,True,True
582,CCC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)C(=O)/C=C/C(C)(C)OC(C)=O,614.7760000000003,4.942900000000005,9,3,147.42999999999998,0.7142857142857143,5.5795111015038685,49,2.705831748030164,True,True,True,True,True,True,True,True,True,True
585,CCC(=O)O[C@@H]1C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]2(C)[C@H]1[C@@](C)(O)[C@H](O)/C=C/C(C)(C)OC(C)=O,616.7920000000003,4.734700000000005,9,4,150.59,0.7428571428571429,5.708821642157733,47,2.714772564271845,True,True,True,True,True,True,True,True,True,True
745,CCC(=O)OC(C)(C)/C=C/[C@@H](N1CCC[C@H]1C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,669.856,4.928800000000004,9,4,161.67000000000002,0.7368421052631579,5.732565799302877,55,2.240132062878585,True,True,True,True,True,True,True,True,True,True
764,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CC(N)=O)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,670.8,3.116100000000002,10,5,210.39,0.6666666666666666,5.751418017914808,57,2.1570483727206,True,True,True,True,True,True,True,True,True,True
773,CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CCCCN)C(=O)O)[C@](C)(O)[C@H]1C(=O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,684.871,4.369700000000003,10,5,193.32,0.7105263157894737,5.740129787871294,53,2.2365131820694453,True,True,True,True,True,True,True,True,True,True
777,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,556.6960000000003,4.190200000000003,8,3,138.20000000000002,0.6875,5.330164975186326,47,3.1528912731343803,True,True,True,True,True,True,True,True,True,True
778,CCC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,570.7230000000003,4.580300000000004,8,3,138.20000000000002,0.696969696969697,5.373408302999225,47,2.952313708132297,True,True,True,True,True,True,True,True,True,True
780,CC(=O)OC(C)(C)/C=C/[C@@H](O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C,558.7120000000002,3.982000000000002,8,4,141.36,0.71875,5.482990287560279,45,3.143272389740731,True,True,True,True,True,True,True,True,True,True
