Smiles,MW,LogP,HBA,HBD,PSA,Fsp3,SA,MCE18,NP_Score,Lipinski_Pass,Pfizer_pass,Fsp3_pass,MCE_pass,SA_pass,NP_pass,Final_pass,PAINS,BMS,CHE
CC(C)(/C=C/[C@@H](N[C@@H](CS)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)OC(=O)c1ccccc1,725.9450000000003,5.048000000000004,10,7,173.61999999999998,0.625,5.794138410695668,61,1.9638447075918608,False,True,True,True,True,True,False,True,False,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)C(C)C)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,659.8610000000001,4.480300000000002,9,6,173.61999999999998,0.7567567567567568,5.840383743307834,48,2.296721653013152,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)C(C)C)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,673.8880000000001,4.8704000000000045,9,6,173.61999999999998,0.7631578947368421,5.880790450903827,48,2.143231849993065,False,True,True,True,True,True,False,True,True,True
CC(C)[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,721.9320000000001,5.774200000000006,9,6,173.61999999999998,0.6428571428571429,5.74199863282551,59,1.893075090871512,False,True,True,True,True,True,False,True,True,True
CC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CC(C)C)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,673.888,4.8704000000000045,9,6,173.61999999999998,0.7631578947368421,5.832774204749981,48,2.289493762212046,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@@H](CC(C)C)C(=O)O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,687.9150000000001,5.260500000000006,9,6,173.61999999999998,0.7692307692307693,5.874155914442603,48,2.1418197325098,False,True,True,True,True,True,False,True,True,True
CC(C)C[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,735.9590000000001,6.164300000000007,9,6,173.61999999999998,0.6511627906976745,5.745572047311801,59,1.8941450494316736,False,True,True,True,True,True,False,True,True,True
CC[C@H](C)[C@H](N[C@H](/C=C/C(C)(C)OC(C)=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,673.8880000000001,4.870400000000004,9,6,173.61999999999998,0.7631578947368421,5.917042598031967,48,2.2699377754302863,False,True,True,True,True,True,False,True,True,True
CCC(=O)OC(C)(C)/C=C/[C@@H](N[C@H](C(=O)O)[C@@H](C)CC)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C,687.9150000000002,5.260500000000005,9,6,173.61999999999998,0.7692307692307693,5.957577364455359,48,2.1262700042245046,False,True,True,True,True,True,False,True,True,True
CC[C@H](C)[C@H](N[C@H](/C=C/C(C)(C)OC(=O)c1ccccc1)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)[C@@H](O)C[C@]12C)C(=O)O,735.9590000000001,6.164300000000007,9,6,173.61999999999998,0.6511627906976745,5.825739873654343,59,1.8764339670632877,False,True,True,True,True,True,False,True,True,True
